City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Moerai,PF,80.46,light rain,-22.4333,-151.3333,Le Manotel
5,Rikitea,PF,80.64,clear sky,-23.1203,-134.9692,Pension Maro'i
15,Arraial Do Cabo,BR,76.32,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
16,Jacareacanga,BR,76.96,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
23,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
29,Limbang,MY,78.8,light rain,4.75,115.0,Purnama Hotel
32,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
38,Butaritari,KI,81.21,clear sky,3.0707,172.7902,Isles Sunset Lodge
40,Manicore,BR,75.11,few clouds,-5.8092,-61.3003,Hotel Durval
44,Atuona,PF,79.11,clear sky,-9.8,-139.0333,Villa Enata
46,Kahului,US,84.2,few clouds,20.8947,-156.47,Maui Seaside Hotel
47,Kombissiri,BF,80.6,clear sky,12.0656,-1.3375,Mitibkieta Annexe
55,Port Elizabeth,ZA,77.0,broken clouds,-33.918,25.5701,39 On Nile Guest House
62,Puerto Leguizamo,CO,76.82,overcast clouds,-0.1934,-74.7819,la casona de juancho
66,Road Town,VG,78.8,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
70,Kununurra,AU,89.6,clear sky,-15.7667,128.7333,Hotel Kununurra
71,East London,ZA,75.54,clear sky,-33.0153,27.9116,Tu Casa
72,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Vila Velha,BR,78.8,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
74,Simplicio Mendes,BR,75.24,clear sky,-7.8539,-41.9103,Fidalgo
80,Avarua,CK,86.0,light rain,-21.2078,-159.775,Paradise Inn
91,Hilo,US,82.4,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
98,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
100,Bachaquero,VE,81.55,clear sky,9.9694,-71.1494,casa de los dinosaurios
101,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
103,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
105,Hervey Bay,AU,84.99,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
112,Kapaa,US,77.0,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
115,Aquiraz,BR,82.4,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
122,Lethem,GY,80.49,overcast clouds,3.3803,-59.7968,Savannah Inn
123,Ca Mau,VN,76.23,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
127,Bambanglipuro,ID,79.95,scattered clouds,-7.95,110.2833,Puri Brata
129,Banda Aceh,ID,80.26,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
134,Ransang,PH,80.76,overcast clouds,8.9603,117.5828,Mapangcal Cove
138,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
139,Gondanglegi,ID,79.12,overcast clouds,-7.7479,112.0132,Gg. Munasir Homestay
141,Mitsamiouli,KM,81.99,overcast clouds,-11.3847,43.2844,Foyer ADM
142,Kapit,MY,77.77,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
145,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
160,Cabedelo,BR,75.2,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
165,Phatthalung,TH,77.0,few clouds,7.5,100.0833,Ozone Resort & Pool Villa
168,Grand Gaube,MU,75.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
179,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
180,Puerto Ayora,EC,75.99,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
181,Vanimo,PG,76.86,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
186,Trincomalee,LK,77.31,scattered clouds,8.5711,81.2335,Welcombe Hotel
192,Geraldton,AU,89.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
193,Alofi,NU,86.0,broken clouds,-19.0595,-169.9187,Taloa Heights
